"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6619","TC_25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality","webkit","Sun Dec 28 20:18:22 CST 2025","passed","Sun Dec 28 20:18:29 CST 2025","Home Page functionalities","home.spec.ts","",""
"","5331","TC_21: Add review on product","chromium","Sun Dec 28 20:16:04 CST 2025","passed","Sun Dec 28 20:16:09 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","5061","TC_08: Verify All Products and product detail page","chromium","Sun Dec 28 20:15:56 CST 2025","passed","Sun Dec 28 20:16:01 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","7514","TC_10: Verify Subscription in home page","webkit","Sun Dec 28 20:18:20 CST 2025","passed","Sun Dec 28 20:18:27 CST 2025","Home Page functionalities","home.spec.ts","",""
"","24907","TC_12: Add Products in Cart","chromium","Sun Dec 28 20:14:49 CST 2025","passed","Sun Dec 28 20:15:14 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","12010","TC_09: Search Product","firefox","Sun Dec 28 20:17:18 CST 2025","passed","Sun Dec 28 20:17:30 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","7540","TC_09: Search Product","webkit","Sun Dec 28 20:18:34 CST 2025","passed","Sun Dec 28 20:18:41 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","8479","TC_04: Logout User","chromium","Sun Dec 28 20:15:55 CST 2025","passed","Sun Dec 28 20:16:04 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","18366","TC_23: Verify address details in checkout page","firefox","Sun Dec 28 20:16:43 CST 2025","passed","Sun Dec 28 20:17:02 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","17200","TC_12: Add Products in Cart","webkit","Sun Dec 28 20:17:30 CST 2025","passed","Sun Dec 28 20:17:47 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","32032","TC_14: Place Order: Register while Checkout","chromium","Sun Dec 28 20:15:15 CST 2025","passed","Sun Dec 28 20:15:47 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","15513","TC_19: View & Cart Brand Products","chromium","Sun Dec 28 20:16:04 CST 2025","passed","Sun Dec 28 20:16:19 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","3391","TC_10: Verify Subscription in home page","firefox","Sun Dec 28 20:16:59 CST 2025","passed","Sun Dec 28 20:17:02 CST 2025","Home Page functionalities","home.spec.ts","",""
"","7461","TC_05: Register User with existing email","webkit","Wed Dec 17 22:38:50 CST 2025","passed","Wed Dec 17 22:38:57 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","7921","TC_18: View Category Products","chromium","Sun Dec 28 20:16:01 CST 2025","passed","Sun Dec 28 20:16:09 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","12017","TC_01: Register new user","firefox","Sun Dec 28 20:17:06 CST 2025","passed","Sun Dec 28 20:17:18 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","27967","TC_15: Place Order: Register before Checkout","webkit","Sun Dec 28 20:17:52 CST 2025","passed","Sun Dec 28 20:18:20 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","19808","TC_16: Place Order: Login before Checkout","chromium","Sun Dec 28 20:15:18 CST 2025","passed","Sun Dec 28 20:15:38 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","6435","TC_01: Register new user","webkit","Sun Dec 28 20:18:27 CST 2025","passed","Sun Dec 28 20:18:34 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","24554","TC_17: Remove Products From Cart","webkit","Sun Dec 28 20:17:38 CST 2025","passed","Sun Dec 28 20:18:02 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","16639","TC_13: Verify Product quantity in Cart","chromium","Sun Dec 28 20:14:49 CST 2025","passed","Sun Dec 28 20:15:06 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","7341","TC_26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality","firefox","Wed Dec 17 13:46:12 CST 2025","passed","Wed Dec 17 13:46:19 CST 2025","Home Page functionalities","home.spec.ts","",""
"","7001","TC_09: Search Product","chromium","Sun Dec 28 20:15:57 CST 2025","passed","Sun Dec 28 20:16:04 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","6748","TC_04: Logout User","webkit","Sun Dec 28 20:18:33 CST 2025","passed","Sun Dec 28 20:18:40 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","10266","TC_26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality","chromium","Wed Dec 17 13:43:59 CST 2025","passed","Wed Dec 17 13:44:09 CST 2025","Home Page functionalities","home.spec.ts","",""
"","6272","TC_08: Verify All Products and product detail page","firefox","Sun Dec 28 20:17:13 CST 2025","passed","Sun Dec 28 20:17:20 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","5591","TC_08: Verify All Products and product detail page","webkit","Sun Dec 28 20:18:33 CST 2025","passed","Sun Dec 28 20:18:39 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","5693","TC_25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality","firefox","Sun Dec 28 20:17:02 CST 2025","passed","Sun Dec 28 20:17:08 CST 2025","Home Page functionalities","home.spec.ts","",""
"","35162","TC_15: Place Order: Register before Checkout","firefox","Sun Dec 28 20:16:33 CST 2025","passed","Sun Dec 28 20:17:08 CST 2025","Checkout Page functionalities","checkout.spec.ts","",""
"","4563","TC_02: Login User with correct email and password","firefox","Sun Dec 28 20:17:08 CST 2025","passed","Sun Dec 28 20:17:12 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","8455","TC_19: View & Cart Brand Products","webkit","Sun Dec 28 20:18:40 CST 2025","passed","Sun Dec 28 20:18:48 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","5492","TC_21: Add review on product","webkit","Sun Dec 28 20:18:41 CST 2025","passed","Sun Dec 28 20:18:47 CST 2025","Products Page Funcionalities","products.spec.ts","",""
"","8268","TC_04: Logout User","firefox","Sun Dec 28 20:17:12 CST 2025","passed","Sun Dec 28 20:17:20 CST 2025","Login and Signup User functionality","login_signup.spec.ts","",""
"","21838","TC_20: Search Products and Verify Cart After Login","firefox","Sun Dec 28 20:16:21 CST 2025","passed","Sun Dec 28 20:16:42 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","8280","TC_11: Verify Subscription in Cart page","firefox","Sun Dec 28 20:16:09 CST 2025","passed","Sun Dec 28 20:16:18 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","5383","TC_26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality","webkit","Sun Dec 28 20:18:24 CST 2025","passed","Sun Dec 28 20:18:29 CST 2025","Home Page functionalities","home.spec.ts","",""
"","9673","TC_13: Verify Product quantity in Cart","webkit","Sun Dec 28 20:17:32 CST 2025","passed","Sun Dec 28 20:17:42 CST 2025","Cart Page functionalities","cart.spec.ts","",""
"","3307","TC_26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality","firefox","Sun Dec 28 20:17:02 CST 2025","passed","Sun Dec 28 20:17:06 CST 2025","Home Page functionalities","home.spec.ts","",""
